2020.07.03,00:00,1.12411,1.12487,1.12328,1.12446,5850
2020.07.03,04:00,1.12447,1.12473,1.12271,1.12398,7406
2020.07.03,08:00,1.12397,1.12463,1.12190,1.12337,13270
2020.07.03,12:00,1.12338,1.12477,1.12201,1.12412,11562
2020.07.03,16:00,1.12413,1.12459,1.12354,1.12440,10117
2020.07.03,20:00,1.12440,1.12511,1.12259,1.12444,7066
2020.07.05,22:00,1.12426,1.12460,1.12361,1.12447,1258
2020.07.06,00:00,1.12448,1.12788,1.12441,1.12768,7211
2020.07.06,04:00,1.12770,1.13021,1.12761,1.12910,7587
2020.07.06,08:00,1.12911,1.13013,1.12806,1.12954,15457
2020.07.06,12:00,1.12954,1.13451,1.12932,1.13168,17333
2020.07.06,16:00,1.13170,1.13183,1.13020,1.13146,9959
2020.07.06,20:00,1.13146,1.13153,1.13045,1.13103,4418
2020.07.07,00:00,1.13100,1.13320,1.13058,1.13070,9374
2020.07.07,04:00,1.13069,1.13155,1.12912,1.12932,8741
2020.07.07,08:00,1.12932,1.12953,1.12585,1.12773,16813
2020.07.07,12:00,1.12772,1.13063,1.12711,1.12837,16528
2020.07.07,16:00,1.12837,1.13029,1.12825,1.12854,13169
2020.07.07,20:00,1.12853,1.12862,1.12676,1.12736,5742
2020.07.08,00:00,1.12733,1.12820,1.12646,1.12783,7639
2020.07.08,04:00,1.12784,1.12820,1.12618,1.12757,8284
2020.07.08,08:00,1.12757,1.12937,1.12656,1.12818,14595
2020.07.08,12:00,1.12822,1.13424,1.12757,1.13273,17125
2020.07.08,16:00,1.13276,1.13512,1.13145,1.13352,14124
2020.07.08,20:00,1.13350,1.13360,1.13254,1.13321,5496
2020.07.09,00:00,1.13319,1.13470,1.13271,1.13461,7420
2020.07.09,04:00,1.13460,1.13702,1.13431,1.13551,9311
2020.07.09,08:00,1.13550,1.13612,1.13158,1.13217,16629
2020.07.09,12:00,1.13218,1.13482,1.12899,1.12948,19418
2020.07.09,16:00,1.12949,1.13036,1.12849,1.12965,15331
